,id,start,end,edible,type
0,baklažán,7,10,1,1
1,biela reďkovka,8,10,1,1
2,brokolica,6,9,1,1
3,cesnak,7,8,1,1
4,cibuľa,4,9,1,1
5,cuketa,6,10,1,1
6,cvikla,6,10,1,1
7,hrach,6,8,1,1
8,hrozno,8,10,1,0
9,hruška,7,10,1,0
10,jablko,7,10,1,0
11,jahoda,5,9,1,0
12,jahňací šalát,4,12,1,1
13,kaleráb,10,11,1,1
14,kapusta,6,11,1,1
15,karfiol,5,10,1,1
16,mangold,5,11,1,1
17,marhuľa,7,8,1,0
18,mrkva,6,9,1,1
19,ostružina,8,10,1,0
20,paprika,7,10,1,1
21,paradajka,5,9,1,1
22,petržlenová vňať,9,10,1,1
23,pór,6,11,1,1
24,reďkovka,4,10,1,1
25,ružičkový kel,1,12,1,1
26,slivka,7,10,1,0
27,squash,7,10,1,1
28,tekvica,7,10,1,1
29,uhorka,6,8,1,1
30,vodný melón,9,9,1,0
31,zelená fazuľa,6,9,1,1
32,zeler,7,10,1,1
33,zemiak,6,10,1,1
34,čakanka,9,10,1,1
35,čerešňa,6,7,1,0
36,čierna ríbezľa,8,8,1,0
37,čili,7,10,1,1
38,čínska kapusta,8,10,1,1
39,ľadový šalát,5,10,1,1
40,šalát,5,10,1,1
41,špargľa,5,6,1,1
42,špenát,5,11,1,1
43,žerucha,1,10,1,1
