,id,start,end,edible,type
0,Baklažán,7,10,1,1
1,Biela reďkovka,8,10,1,1
2,Brokolica,6,9,1,1
3,Cesnak,7,8,1,1
4,Cibuľa,4,9,1,1
5,Cuketa,6,10,1,1
6,Cvikla,6,10,1,1
7,Hrach,6,8,1,1
8,Hrozno,8,10,1,0
9,Hruška,7,10,1,0
10,Jablko,7,10,1,0
11,Jahoda,5,9,1,0
12,Jahňací šalát,4,12,1,1
13,Kaleráb,10,11,1,1
14,Kapusta,6,11,1,1
15,Karfiol,5,10,1,1
16,Mangold,5,11,1,1
17,Marhuľa,7,8,1,0
18,Mrkva,6,9,1,1
19,Ostružina,8,10,1,0
20,Paprika,7,10,1,1
21,Paradajka,5,9,1,1
22,Petržlenová vňať,9,10,1,1
23,Pór,6,11,1,1
24,Reďkovka,4,10,1,1
25,Ružičkový kel,1,12,1,1
26,Slivka,7,10,1,0
27,Squash,7,10,1,1
28,Tekvica,7,10,1,1
29,Uhorka,6,8,1,1
30,Vodný melón,9,9,1,0
31,Zelená fazuľa,6,9,1,1
32,Zeler,7,10,1,1
33,Zemiak,6,10,1,1
34,Čakanka,9,10,1,1
35,Čerešňa,6,7,1,0
36,Čierna ríbezľa,8,8,1,0
37,Čili,7,10,1,1
38,Čínska kapusta,8,10,1,1
39,Ľadový šalát,5,10,1,1
40,Šalát,5,10,1,1
41,Špargľa,5,6,1,1
42,Špenát,5,11,1,1
43,Žerucha,1,10,1,1
0,Alchemilka žltozelená,5,9,1,2
1,Archangelika lekárska,5,10,1,2
2,Baza čierna,4,10,1,2
3,Bazalka pravá,6,9,1,2
4,Benedikt lekársky,5,10,1,2
5,Betonika lekárska,6,8,1,2
6,Borák lekársky,5,9,1,2
7,Borievka obyčajná,9,10,1,2
8,Breza previsnutá,3,6,1,2
9,Čakanka obyčajná,7,10,1,2
10,Čučoriedka obyčajná,7,9,1,2
11,Chmeľ obyčajný,8,9,1,2
12,Divozel veľkokvetý,7,8,1,2
13,Dúška tymiánová - tymián,5,8,1,2
14,Fenikel obyčajný,9,10,1,2
15,Hloh obyčajný,5,10,1,2
16,Horčiak pieprový,6,9,1,2
17,Horec žltý,10,11,1,2
18,Hrdobarka obyčajná,7,8,1,2
19,Ibiš lekársky,6,10,1,2
20,Ihlica roľná,3,10,1,2
21,Imelo biele,1,12,1,2
22,Jahoda obyčajná,5,7,1,2
23,Jastrabina lekárska,7,8,1,2
24,Kapsička pastierska,4,9,1,2
25,Kapucínka,5,10,1,2
26,Komonica lekárska,7,8,1,2
27,Kôpor voňavý,8,9,1,2
28,Koriander siaty,7,8,1,2
29,Kosatec nemecký,3,10,1,2
30,Kostihoj lekársky,5,10,1,2
31,Krušina jelšová,3,4,1,2
32,Ľan siaty,8,9,1,2
33,Ľubovník bodkovaný,6,8,1,2
34,Levanduľa,6,8,1,2
35,"Lipa veľkolistá, lipa malolistá",6,7,1,2
36,Lopúch väčší,3,11,1,2
37,Marena farbiarska,9,10,1,2
38,Mäta pieporná,6,9,1,2
39,Materina dúška,5,8,1,2
40,Medovka lekárska,6,9,1,2
41,Medvedí cesnak,3,4,1,2
42,Nátržník vzpriamený,3,10,1,2
43,Nechtík lekársky,6,10,1,2
44,Nevädza poľná,6,7,1,2
45,Očianka rostkovova,7,9,1,2
46,Oman pravý,5,8,1,2
47,Orech kráľovský,5,6,1,2
48,Oregano - pamajorán obyčajný,5,8,1,2
49,Ostružina malinová,6,8,1,2
50,Pagaštan konský,3,9,1,2
51,Palina pravá,5,9,1,2
52,Pivonka obyčajná,3,6,1,2
53,Plektrant - nádchovník,1,12,1,2
54,Pľúcnik lekársky,3,5,1,2
55,Podbeľ liečivý,4,8,1,2
56,Praslička roľná,5,8,1,2
57,Prietržník holý,6,8,1,2
58,Prvosienka jarná,2,5,1,2
59,Púpava lekárska,3,10,1,2
60,Pýr plazivý,4,9,1,2
61,Rebríček obyčajný (myší chvost),5,9,1,2
62,Repík lekársky,5,9,1,2
63,Ríbezľa čierna,6,8,1,2
64,Rozchodník prudký,7,7,1,2
65,Rozmarín lekársky,6,8,1,2
66,Rumanček kamilkový (kamilka),5,9,1,2
67,Ruža šípová,9,10,1,2
68,Šalvia lekárska,5,10,1,2
69,Saturejka horská,5,9,1,2
70,Skorocel kopijovitý,5,9,1,2
71,Slez maurský,6,8,1,2
72,Srdcovník obyčajný,6,7,1,2
73,Stavikrv vtáčí,7,10,1,2
74,Valeriána lekárska,8,10,1,2
75,Veronika lekárska,3,8,1,2
76,Vlkovec obyčajný,5,9,1,2
77,Vratič obyčajný (králik),8,9,1,2
78,Yzop lekársky,7,9,1,2
79,Železník lekársky,7,9,1,2
80,Žihľava dvojdomá,3,11,1,2
81,Zemežlč menšia,6,8,1,2
82,Zlatobyľ obyčajná,6,10,1,2
0,Amphosoma atroolivaceum,1,12,0,3
1,Antrodiela buková,7,11,0,3
2,Antrodiela lopatkovitá,7,11,0,3
3,Antrodiela podobná,1,12,0,3
4,Antrodiela žltooranžová,7,11,0,3
5,Antródia lužná,6,10,0,3
6,Askobol,1,12,0,3
7,Askobol belavý,6,10,0,3
8,Askobol drevný,7,9,0,3
9,Askobol drevový,6,8,0,3
10,Askobol jelení,6,8,0,3
11,Askobol nahý,4,12,0,3
12,Askobol otrubnatý,6,10,0,3
13,Askobol ponorený,8,10,0,3
14,Askobol ružovočervenkastý,3,8,0,3
15,Askobol spáleniskový,6,10,0,3
16,Askobol zelený,6,10,0,3
17,Askobol zrnitovýtrusný,6,10,0,3
18,Asterostróma hladkovýtrusná,6,10,0,3
19,Asterostróma okrová,2,11,0,3
20,Atélia listová,1,12,0,3
21,Atélia nepukavá,1,12,0,3
22,Atélia obyčajný,1,12,0,3
23,Atélia vráskavejúca,1,12,0,3
24,Badhamia bublinatá,7,12,0,3
25,Barsia,5,7,0,3
26,Bedlica badhamova,8,11,0,3
27,Bedlica georgínina,5,10,0,3
28,Bedlica hodvábitá,8,10,0,3
29,Bedlica hodvábna,8,10,0,3
30,Bedlica pieskomilná,7,10,0,3
31,Bedlica pilátova,8,10,0,3
32,Bedlica pomúčená,8,11,0,3
33,Bedlica pukavá,8,11,0,3
34,Bedlica ružovolupeňová,8,11,0,3
35,Bedlica tmavoobrúbená,8,10,0,3
36,Bedlica špinavobiela,8,10,0,3
37,Bedlička fialovkastá,8,10,0,3
38,Bedlička forquignova,8,10,0,3
39,Bedlička hnedastošupinkatá,7,10,0,3
40,Bedlička hnedoružová,8,11,0,3
41,Bedlička hnedá,9,11,0,3
42,Bedlička hrdzavá,7,10,0,3
43,Bedlička jakobova,7,10,0,3
44,Bedlička ježatá,8,11,0,3
45,Bedlička ligotavá,7,10,0,3
46,Bedlička ostrošupinatá,8,11,0,3
47,Bedlička pavučinovcovitá,8,10,0,3
48,Bedlička pichliačová,7,10,0,3
49,Bedlička pošvatá,7,10,0,3
50,Bedlička páchnúca,6,10,0,3
51,Bedlička sivožltá,9,10,0,3
52,Bedlička tanečnicovitá,9,11,0,3
53,Bedlička vlnatá,9,11,0,3
54,Bedlička vápnomilná,7,10,0,3
55,Bedlička vínovohnedá,7,10,0,3
56,Bedlička červenejúca,8,10,0,3
57,Bedľa hustošupinatá,7,10,0,3
58,Bedľa pýrivá,7,10,0,3
59,Bedľa vyniknutá,7,9,1,3
60,Bedľa vysoká,7,10,1,3
61,Bedľa vysoká čiernohnedá,8,10,1,3
62,Bedľa červenejúca,7,10,0,3
63,Bedľa červenejúca záhradná,7,11,0,3
64,Bedľa čipkovaná,7,10,0,3
65,Bedľa štíhla,7,10,0,3
66,Bedľovec bresadolov,6,9,0,3
67,Bedľovec citrónovožltý,7,10,0,3
68,Bedľovník orosený,6,10,0,3
69,Belák horský,4,11,0,3
70,Belánik bradavičnatospórový,9,11,0,3
71,Belánik erikssonov,6,11,0,3
72,Belánik hodvábny,3,12,0,3
73,Belánik poľský,3,11,0,3
74,Belánik rozložitý,1,12,0,3
75,Belánik zrastavý,6,10,0,3
76,Bercia buková,1,12,0,3
77,Bielohľuzovka obyčajná,7,9,0,3
78,Bielopavučinovec hľuznatý,8,11,0,3
79,Blanovec dlhovýtrusný,3,11,0,3
80,Bledokožka premenlivá,1,12,0,3
81,Bledúšik holý,7,10,0,3
82,Bodínia otrubnatá,3,11,0,3
83,Bolínka drobnovýtrusná,6,11,0,3
84,Bolínka ihličnanová,1,12,0,3
85,Boubovia hladkovýtrusná,6,9,0,3
86,Brevicelícium bradavičkaté,6,11,0,3
87,Brezovník obyčajný,1,12,0,3
88,Bryopistillaria sagittiformis,10,11,0,3
89,Budiera,6,9,0,3
90,Budiera ostnatovýtrusná,6,9,0,3
91,Budiera ostnatovýtrusná bledá,6,10,0,3
92,Budiera sieťovitá,7,10,0,3
93,Budiera sieťovitá biela,9,10,0,3
94,Bulgária čierna,1,12,0,3
95,Chlpanka,8,11,0,3
96,Chlpanka guldenovej,4,6,0,3
97,Chlpanka malovýtrusná,3,7,0,3
98,Chlpanka petrakova,5,9,0,3
99,Chlpanka trusová,6,12,0,3
100,Chrastavica gáfrová,1,12,0,3
101,Chrastavica pružná,5,10,0,3
102,Chrastavka hnedoolivová,6,11,0,3
103,Chrastavka pivničná,1,12,0,3
104,Chrastavka polovoľná,6,11,0,3
105,Chrastuľka obyčajná,3,11,0,3
106,Chriapač,7,9,0,3
107,Chriapač brvitý,5,10,0,3
108,Chriapač hnedobiely,8,11,0,3
109,Chriapač jamkatý,6,10,0,3
110,Chriapač kalíškovitý,4,6,0,3
111,Chriapač kučeravý,8,10,0,3
112,Chriapač pieskomilný,4,5,0,3
113,Chriapač pružný,7,11,0,3
114,Chriapač sosnový,4,6,0,3
115,Chriapač tmavý,4,10,0,3
116,Chriapač voľnookrajový,7,9,0,3
117,Chrysodisca peziculoides,3,11,0,3
118,Cryptodiscus pallidus,1,12,0,3
119,Cupulina ascophanoides,6,10,0,3
120,Daldínia koncentrická,1,12,0,3
121,Dezmazierelka borovicová,2,4,0,3
122,Diatrypka,1,12,0,3
123,Diatrypka diskovitá,1,12,0,3
124,Discinka hnedá,4,5,0,3
125,Discinka horská,4,5,0,3
126,Discinka zemná,3,5,0,3
127,Diskovka,1,12,0,3
128,Diskovník múrový,1,12,0,3
129,Drevnatec,1,12,0,3
130,Drevnatec bukový,3,11,0,3
131,Drevnatec kyjakovitý,1,12,0,3
132,Drevnatec parohatý,1,12,0,3
133,Drevnatec štíhly,1,12,0,3
134,Drevnička žltá,6,9,0,3
135,Drevokaz slzivý,5,11,0,3
136,Drevomorka rôsolovitá,9,12,0,3
137,Drevovník sivomodrastý,4,7,0,3
138,Drevovček bukový,1,12,0,3
139,Drevovček hnedý,1,12,0,3
140,Drevovček mnohotvarý,1,12,0,3
141,Drevovček moravský,1,12,0,3
142,Drobnojazýček,8,11,0,3
143,Drobnosférka,3,10,0,3
144,Drobnočiaška,4,7,0,3
145,Drobuľka,1,12,0,3
