,id,start,end
0,bedlička vlnatá,9,11
1,bedľa hustošupinatá,7,10
2,bedľa pýrivá,7,10
3,bedľa vyniknutá,7,9
4,bedľa vysoká,7,10
5,bedľa vysoká čiernohnedá,8,10
6,bedľa červenejúca,7,10
7,bedľa čipkovaná,7,10
8,bedľa štíhla,7,10
9,bielohľuzovka obyčajná,7,9
10,bielopavučinovec hľuznatý,8,11
11,chriapač jamkatý,6,10
12,chriapač kalíškovitý,4,6
13,chriapač kučeravý,8,10
14,chriapač pružný,7,11
15,chriapač sosnový,4,6
16,discinka hnedá,4,5
17,drobuľka Candolleova,5,11
18,drobuľka čokoládovohnedá,9,11
19,fúkavec sivý,6,11
20,golierovka zelenomodrá,8,11
21,hliva buková,4,11
22,hliva dubová,9,11
23,hliva lievikovitá,3,11
24,hliva smreková,8,12
25,hliva ustricovitá,1,12
26,hliva závojová,4,10
27,hnojník atramentový,5,11
28,hnojník atramentový šupinatý,5,11
29,hnojník ligotavý,5,11
30,hnojník obyčajný,4,11
31,hodvábnica jarná,4,6
32,hríb Frostov,7,9
33,hríb brezový,8,10
34,hríb bronzový,5,10
35,hríb dubový,5,11
36,hríb hrabový,6,11
37,hríb modrejúci,5,10
38,hríb siný,5,10
39,hríb smrekový,8,11
40,hríb smrekový kyjakovitý,6,11
41,hríb sosnový,5,11
42,hríb zrnitohlúbikový,6,11
43,hríbnik gaštanovohnedý,6,11
44,hríbnik modrejúci,6,11
45,hríbovec dutohlúbikový,6,11
46,húževnatček ulitovitý,7,10
47,hľuzovka Borchiova,1,12
48,hľuzovka belavá,10,12
49,hľuzovka čierna,1,12
50,jelenka poprehýbaná,7,11
51,jelenka ryšavá,7,11
52,jelenkovec škridlicovitý,8,11
53,konárovka ametystová,7,10
54,koralovec bukový,10,11
55,koralovec jedľový,8,11
56,kozák belostný,6,10
57,kozák brezový,6,11
58,kozák dubový,6,10
59,kozák hnedý,6,9
60,kozák hrabový,6,10
61,kozák osikový,6,11
62,kozák osikový hnedý,6,10
63,kozák rozličnofarebný,6,11
64,kozák sivozelený,6,10
65,kozák smrekový,6,11
66,kozák sosnový,7,11
67,kozák topoľový,8,10
68,kozák červenejúci,7,10
69,kozák čierny,7,10
70,kozák škoricovohnedý,8,10
71,kozák žltooranžový,6,11
72,kozák žltopórový,6,9
73,krásnopórovec ovčí,5,10
74,kuriatko jedlé,5,11
75,kuriatko lievikovité,8,12
76,kuriatko sivé,8,10
77,kuriatko žltohnedé,8,11
78,kučierka veľká,8,10
79,kyjak obrovský,8,11
80,lakovka ametystová,7,11
81,lakovka obyčajná,6,11
82,lakovka veľká,7,11
83,lievik trúbkovitý,8,11
84,lopatička žltkastá,6,10
85,lúčnica snehobiela,8,12
86,lúčnica snehobiela bledookrová,9,11
87,lúčnica snehobiela hnedastá,9,11
88,lúčnica statná,8,12
89,lúčnica statná bledá,8,11
90,machovec obyčajný,6,10
91,machovka obyčajná,8,11
92,masliak biely,6,11
93,masliak citrónovožltý,6,10
94,masliak duglaskový,6,10
95,masliak kopcový,9,11
96,masliak kravský,6,11
97,masliak lepkavý,5,10
98,masliak obyčajný,5,11
99,masliak smrekovcový,6,11
100,masliak strakatý,6,11
101,masliak tridentský,7,10
102,masliak zrnitý,6,11
103,misovka žilkovaná,3,6
104,muchotrávka hrubá,6,11
105,muchotrávka oranžová,7,9
106,muchotrávka plavohnedá,6,10
107,muchotrávka pošvatá,6,10
108,muchotrávka umbrovožltá,6,10
109,muchotrávka červenkastá,6,11
110,pajelenka želatínová,7,11
111,palievik kučeravý,8,10
112,pavučinovec hladkovýtrusný,8,10
